LIMS	// User ID
11-12-2017	// Evaluation date
P027__22__[321-18-2-19]	17-11-2017	18:02:16:121	// Source file name and timestamp
2000.000	// Sampling rate
3.879	// Data capture period

Sample #	Left_FP	Right_FP	Symmetry_GRF	Max_vGRF	
0	-7.766250	-4.392027	NaN	2425.829755	
1	-7.817766	-4.460109	NaN	2425.829755	
2	-7.872606	-4.543977	NaN	2425.829755	
3	-7.924040	-4.642558	NaN	2425.829755	
4	-7.964965	-4.754050	NaN	2425.829755	
5	-7.989829	-4.876608	NaN	2425.829755	
6	-7.995768	-5.008740	NaN	2425.829755	
7	-7.982737	-5.148601	NaN	2425.829755	
8	-7.952063	-5.292975	NaN	2425.829755	
9	-7.905362	-5.437314	NaN	2425.829755	
10	-7.845511	-5.577093	NaN	2425.829755	
11	-7.777102	-5.708618	NaN	2425.829755	
12	-7.704981	-5.827914	NaN	2425.829755	
13	-7.633379	-5.930168	NaN	2425.829755	
14	-7.566170	-6.011647	NaN	2425.829755	
15	-7.506525	-6.071974	NaN	2425.829755	
16	-7.456257	-6.114331	NaN	2425.829755	
17	-7.415650	-6.143909	NaN	2425.829755	
18	-7.383512	-6.165894	NaN	2425.829755	
19	-7.357427	-6.183476	NaN	2425.829755	
20	-7.334804	-6.196313	NaN	2425.829755	
21	-7.314499	-6.200782	NaN	2425.829755	
22	-7.297348	-6.192310	NaN	2425.829755	
23	-7.284774	-6.167941	NaN	2425.829755	
24	-7.277436	-6.127589	NaN	2425.829755	
25	-7.275262	-6.074054	NaN	2425.829755	
26	-7.277455	-6.012066	NaN	2425.829755	
27	-7.281874	-5.946872	NaN	2425.829755	
28	-7.284929	-5.883142	NaN	2425.829755	
29	-7.282553	-5.824123	NaN	2425.829755	
30	-7.271722	-5.770995	NaN	2425.829755	
31	-7.251467	-5.723257	NaN	2425.829755	
32	-7.222823	-5.680402	NaN	2425.829755	
33	-7.187749	-5.643329	NaN	2425.829755	
34	-7.147796	-5.614131	NaN	2425.829755	
35	-7.103918	-5.595103	NaN	2425.829755	
36	-7.057126	-5.587757	NaN	2425.829755	
37	-7.008848	-5.592069	NaN	2425.829755	
38	-6.961034	-5.606204	NaN	2425.829755	
39	-6.916567	-5.626698	NaN	2425.829755	
40	-6.879730	-5.649679	NaN	2425.829755	
41	-6.855289	-5.672900	NaN	2425.829755	
42	-6.846738	-5.695888	NaN	2425.829755	
