LIMS	// User ID
11-12-2017	// Evaluation date
P030__5__[321-19-9-43]	17-11-2017	19:09:38:339	// Source file name and timestamp
2000.000	// Sampling rate
4.872	// Data capture period

Sample #	Left_FP	Right_FP	Left_X	Left_Y	Right_X	Right_Y	Global_X	Global_Y	JumpHeight	
0	297.756374	247.758376	-169.265187	279.919176	177.676710	274.484313	-11.693351	277.450805	0.000000	
1	297.829737	247.790377	-169.289457	279.955142	177.663200	274.534770	-11.722814	277.493510	0.000000	
2	297.906850	247.825487	-169.324476	279.975616	177.669453	274.596401	-11.749171	277.532831	0.000000	
3	297.990604	247.864162	-169.370335	279.986122	177.697357	274.669301	-11.772293	277.571836	0.000000	
4	298.081441	247.906377	-169.425681	279.992923	177.745645	274.751466	-11.792153	277.613034	0.000000	
5	298.176452	247.953563	-169.487822	280.002082	177.811505	274.841340	-11.807228	277.659005	0.000000	
6	298.270621	248.007525	-169.553472	280.018249	177.891330	274.938092	-11.815283	277.711883	0.000000	
7	298.359110	248.068553	-169.619179	280.043473	177.980528	275.040465	-11.815022	277.772195	0.000000	
8	298.439840	248.136517	-169.681689	280.077074	178.074047	275.146797	-11.806406	277.838811	0.000000	
9	298.514489	248.212222	-169.738698	280.116621	178.167360	275.255307	-11.790433	277.909600	0.000000	
10	298.586217	248.296567	-169.789222	280.158536	178.257009	275.364121	-11.768734	277.981768	0.000000	
11	298.656606	248.389704	-169.833006	280.198789	178.340641	275.471275	-11.742644	278.052233	0.000000	
12	298.725119	248.491553	-169.869877	280.234959	178.416653	275.574085	-11.712670	278.118452	0.000000	
13	298.790178	248.602297	-169.899938	280.267108	178.483894	275.668467	-11.678872	278.178602	0.000000	
14	298.849340	248.721494	-169.923969	280.295694	178.541817	275.749389	-11.641377	278.230639	0.000000	
15	298.899125	248.846580	-169.942965	280.319706	178.590841	275.812307	-11.600426	278.271948	0.000000	
16	298.936254	248.972953	-169.957341	280.337415	178.632249	275.854816	-11.556316	278.300497	0.000000	
17	298.959182	249.096180	-169.967286	280.347810	178.667442	275.877591	-11.509610	278.316055	0.000000	
18	298.967996	249.214218	-169.973741	280.351002	178.697200	275.883862	-11.461200	278.320154	0.000000	
19	298.962680	249.327512	-169.978101	280.348074	178.721611	275.877689	-11.411647	278.315227	0.000000	
